"Jul.Day","YYYY/MM/DD","Wdy","EUR/USD","GBP/USD","JPY/USD","ILS/USD","CHF/USD"
2457025,"2015/01/02","Fri",0.83242,0.65101,120.21,3.9290,1.00051
2457028,"2015/01/05","Mon",0.83905,0.65644,119.65,3.9540,1.00804
2457029,"2015/01/06","Tue",0.83782,0.65896,118.22,3.9465,1.00614
2457030,"2015/01/07","Wed",0.84602,0.66344,119.53,3.9782,1.01612
2457031,"2015/01/08","Thu",0.84674,0.66151,119.52,3.9571,1.01696
2457032,"2015/01/09","Fri",0.84536,0.66004,118.66,3.9458,1.01533
2457035,"2015/01/12","Mon",0.84520,0.65933,118.35,3.9412,1.01506
2457036,"2015/01/13","Tue",0.84906,0.65942,118.18,3.9367,1.01963
2457037,"2015/01/14","Wed",0.84700,0.65649,116.78,3.8951,1.01727
2457038,"2015/01/15","Thu",0.86239,0.65959,116.98,3.9289,0.89492
2457039,"2015/01/16","Fri",0.86830,0.66090,117.51,3.9402,0.84905
2457042,"2015/01/19","Mon",0.86043,0.66078,117.54,3.9130,0.87580
2457043,"2015/01/20","Tue",0.86519,0.65963,118.48,3.9326,0.87528
2457044,"2015/01/21","Wed",0.86332,0.66153,117.85,3.9395,0.85984
2457045,"2015/01/22","Thu",0.87619,0.66439,117.93,3.9499,0.86808
2457046,"2015/01/23","Fri",0.88662,0.66572,117.79,4.0126,0.87610
2457049,"2015/01/26","Mon",0.88580,0.66277,118.43,3.9907,0.89896
2457050,"2015/01/27","Tue",0.87959,0.65814,117.57,3.9428,0.90448
2457051,"2015/01/28","Wed",0.88174,0.65945,117.80,3.9365,0.90586
2457052,"2015/01/29","Thu",0.88432,0.66481,118.28,3.9340,0.92278
2457053,"2015/01/30","Fri",0.88577,0.66550,117.42,3.9298,0.92112
2457056,"2015/02/02","Mon",0.88217,0.66550,117.33,3.9392,0.92649
2457057,"2015/02/03","Tue",0.87251,0.66101,117.51,3.8876,0.92362
2457058,"2015/02/04","Wed",0.87585,0.65755,117.62,3.8927,0.92395
2457059,"2015/02/05","Thu",0.87473,0.65393,117.41,3.8602,0.92515
2457060,"2015/02/06","Fri",0.88258,0.65596,119.15,3.8879,0.92318
2457063,"2015/02/09","Mon",0.88371,0.65720,118.67,3.8803,0.92598
2457064,"2015/02/10","Tue",0.88375,0.65571,119.31,3.8691,0.92642
2457065,"2015/02/11","Wed",0.88536,0.65660,120.33,3.8877,0.92911
2457066,"2015/02/12","Thu",0.87656,0.65025,118.69,3.8871,0.92841
2457067,"2015/02/13","Fri",0.87663,0.64964,118.68,3.8855,0.93111
2457071,"2015/02/17","Tue",0.87759,0.65159,119.03,3.8663,0.93473
2457072,"2015/02/18","Wed",0.88177,0.64812,119.19,3.8656,0.94464
2457073,"2015/02/19","Thu",0.87781,0.64728,118.80,3.8442,0.94749
2457074,"2015/02/20","Fri",0.87947,0.65003,118.65,3.8575,0.94221
2457077,"2015/02/23","Mon",0.88151,0.64672,118.90,3.9093,0.94972
2457078,"2015/02/24","Tue",0.88455,0.64797,119.12,3.9520,0.95174
2457079,"2015/02/25","Wed",0.88009,0.64528,118.84,3.9476,0.94997
2457080,"2015/02/26","Thu",0.89195,0.64833,119.41,3.9525,0.95409
2457081,"2015/02/27","Fri",0.89305,0.64771,119.69,3.9796,0.95132
2457084,"2015/03/02","Mon",0.89376,0.65059,120.07,3.9971,0.95541
2457085,"2015/03/03","Tue",0.89191,0.64976,119.50,3.9783,0.95910
2457086,"2015/03/04","Wed",0.90341,0.65508,119.73,3.9923,0.96419
2457087,"2015/03/05","Thu",0.90871,0.65671,120.25,3.9942,0.97371
2457088,"2015/03/06","Fri",0.92135,0.66390,120.96,4.0307,0.98478
2457091,"2015/03/09","Mon",0.92205,0.66243,121.13,4.0083,0.98738
2457092,"2015/03/10","Tue",0.93398,0.66291,121.24,4.0438,0.99976
2457093,"2015/03/11","Wed",0.94569,0.66915,121.56,4.0329,1.00742
2457094,"2015/03/12","Thu",0.94210,0.67088,121.33,4.0073,1.00348
2457095,"2015/03/13","Fri",0.95027,0.67777,121.13,4.0414,1.00487
2457098,"2015/03/16","Mon",0.94570,0.67568,121.34,4.0066,1.00742
2457099,"2015/03/17","Tue",0.94299,0.67830,121.26,4.0053,1.00425
2457100,"2015/03/18","Wed",0.93967,0.68098,120.94,4.0236,0.99532
2457101,"2015/03/19","Thu",0.94156,0.67906,120.91,4.0316,0.99221
2457102,"2015/03/20","Fri",0.92672,0.67016,120.30,4.0577,0.97658
2457105,"2015/03/23","Mon",0.91518,0.66956,119.77,3.9670,0.96701
2457106,"2015/03/24","Tue",0.91696,0.67260,119.95,3.9183,0.95877
2457107,"2015/03/25","Wed",0.91023,0.67047,119.40,3.9586,0.95753
2457108,"2015/03/26","Thu",0.91591,0.67378,119.00,3.9565,0.96138
2457109,"2015/03/27","Fri",0.91818,0.67212,119.13,3.9609,0.95884
2457112,"2015/03/30","Mon",0.92445,0.67621,120.16,3.9591,0.96811
2457113,"2015/03/31","Tue",0.93100,0.67341,119.99,3.9771,0.97143
2457114,"2015/04/01","Wed",0.92879,0.67465,119.66,3.9673,0.96718
2457115,"2015/04/02","Thu",0.91948,0.67379,119.74,3.9476,0.95791
2457119,"2015/04/06","Mon",0.90857,0.66853,119.04,3.9133,0.95272
2457120,"2015/04/07","Tue",0.92169,0.67313,120.42,3.9382,0.96418
2457121,"2015/04/08","Wed",0.92440,0.67017,119.92,3.9296,0.96364
2457122,"2015/04/09","Thu",0.93720,0.67857,120.27,3.9547,0.97534
2457123,"2015/04/10","Fri",0.94366,0.68277,120.30,3.9870,0.98069
2457126,"2015/04/13","Mon",0.94510,0.68237,120.36,3.9930,0.97804
2457127,"2015/04/14","Tue",0.93693,0.67624,119.29,3.9613,0.97143
2457128,"2015/04/15","Wed",0.94374,0.67660,119.26,3.9804,0.97227
2457129,"2015/04/16","Thu",0.93097,0.67014,119.20,3.9374,0.95854
2457130,"2015/04/17","Fri",0.92763,0.66928,119.08,3.9183,0.95264
2457133,"2015/04/20","Mon",0.92912,0.67055,119.30,3.9393,0.95448
2457134,"2015/04/21","Tue",0.92964,0.66918,119.40,3.9504,0.95288
2457135,"2015/04/22","Wed",0.93220,0.66562,119.86,3.9440,0.96670
2457136,"2015/04/23","Thu",0.92577,0.66464,119.67,3.9323,0.95525
2457137,"2015/04/24","Fri",0.91951,0.65897,118.92,3.9119,0.95322
2457140,"2015/04/27","Mon",0.91816,0.65645,119.14,3.8935,0.95345
2457141,"2015/04/28","Tue",0.91089,0.65250,118.78,3.8566,0.95397
2457142,"2015/04/29","Wed",0.89503,0.64592,118.83,3.8561,0.93588
2457143,"2015/04/30","Thu",0.89591,0.65247,119.87,3.8657,0.94121
2457144,"2015/05/01","Fri",0.89332,0.66067,120.24,3.8878,0.93418
2457147,"2015/05/04","Mon",0.89724,0.66159,120.27,3.8880,0.93572
2457148,"2015/05/05","Tue",0.89497,0.65897,119.92,3.8764,0.92651
2457149,"2015/05/06","Wed",0.88139,0.65598,119.37,3.8602,0.91518
2457150,"2015/05/07","Thu",0.88632,0.65691,119.71,3.8696,0.91983
2457151,"2015/05/08","Fri",0.88974,0.64714,119.80,3.8620,0.92771
2457154,"2015/05/11","Mon",0.89753,0.64132,120.09,3.8649,0.93453
