EUR,GBP,JPY,ILS,CHF,month,year
0.98764,0.60945,105.443,4.1071,1.59101,Jan,2000
1.01674,0.62492,109.461,4.057,1.63424,Feb,2000
1.03682,0.63284,106.3,4.006,1.6633799999999999,Mar,2000
1.05815,0.63176,105.584,4.0444,1.66488,Apr,2000
1.10257,0.66285,108.29799999999999,4.142,1.7174099999999999,May,2000
1.0520100000000001,0.6624899999999999,106.10799999999999,4.1088,1.64179,Jun,2000
1.0655299999999999,0.6632100000000001,108.227,4.0923,1.6517400000000002,Jul,2000
1.10592,0.67193,108.023,4.0475,1.7152900000000002,Aug,2000
1.15018,0.6977800000000001,106.82799999999999,4.0409,1.75856,Sep,2000
1.17324,0.68925,108.43700000000001,4.1035,1.7742099999999998,Oct,2000
1.17082,0.70226,109.124,4.1118,1.7798599999999998,Nov,2000
1.11552,0.68399,112.137,4.0812,1.68808,Dec,2000
1.06628,0.67674,116.757,4.1209,1.63009,Jan,2001
1.08641,0.68858,116.212,4.1227,1.6685299999999998,Feb,2001
1.10138,0.69239,121.50299999999999,4.1648,1.6908299999999998,Mar,2001
1.1200299999999999,0.69675,123.735,4.1746,1.7128400000000001,Apr,2001
1.1436600000000001,0.7013199999999999,121.675,4.1418,1.7539,May,2001
1.17232,0.71316,122.348,4.164,1.78521,Jun,2001
1.16095,0.70697,124.501,4.1998,1.75682,Jul,2001
1.10833,0.69529,121.243,4.2355,1.67891,Aug,2001
1.0969,0.68291,118.64,4.3377,1.63394,Sep,2001
1.10483,0.68952,121.44200000000001,4.3205,1.6352,Oct,2001
1.1264399999999999,0.69718,122.471,4.2404,1.65107,Nov,2001
1.1211799999999998,0.69399,127.42399999999999,4.2771,1.6546,Dec,2001
1.13228,0.69809,132.66,4.5378,1.6701400000000002,Jan,2002
1.14848,0.7027100000000001,133.592,4.6564,1.69707,Feb,2002
1.14039,0.7027100000000001,130.97899999999998,4.6719,1.6737900000000001,Mar,2002
1.1286100000000001,0.69298,130.765,4.8055,1.6539400000000002,Apr,2002
1.0907,0.68499,126.331,4.895,1.58903,May,2002
1.0460399999999999,0.67401,123.264,4.9353,1.5396100000000001,Jun,2002
1.00711,0.6426,117.90299999999999,4.7169,1.47213,Jul,2002
1.02274,0.6512399999999999,118.98200000000001,4.6718,1.49778,Aug,2002
1.01962,0.64248,121.06700000000001,4.7799,1.4928,Sep,2002
1.01904,0.6420399999999999,123.91,4.7985,1.49294,Oct,2002
0.999,0.63679,121.631,4.6892,1.46634,Nov,2002
0.98198,0.6306,121.978,4.6944,1.44039,Dec,2002
0.9412799999999999,0.61838,118.773,4.8374,1.37616,Jan,2003
0.92737,0.6221899999999999,119.375,4.8658,1.3605,Feb,2003
0.92627,0.63192,118.677,4.7818,1.3612,Mar,2003
0.92079,0.63534,119.902,4.6134,1.37801,Apr,2003
0.8649399999999999,0.61629,117.37,4.4758,1.3106200000000001,May,2003
0.8566,0.60211,118.323,4.3832,1.31941,Jun,2003
0.8802,0.61641,118.634,4.3764,1.36127,Jul,2003
0.8973,0.62769,118.565,4.4519,1.3825100000000001,Aug,2003
0.88779,0.61919,114.79299999999999,4.4655,1.37411,Sep,2003
0.85365,0.59548,109.48899999999999,4.4515,1.32199,Oct,2003
0.8533799999999999,0.59134,109.17299999999999,4.4927,1.33013,Nov,2003
0.8136899999999999,0.57125,107.76100000000001,4.3948,1.26476,Dec,2003
0.79208,0.5483899999999999,106.311,4.4231,1.24032,Jan,2004
0.79074,0.5353,106.633,4.4657,1.2441799999999998,Feb,2004
0.8155399999999999,0.54762,108.507,4.5035,1.2775100000000001,Mar,2004
0.83447,0.55509,107.709,4.5498,1.29742,Apr,2004
0.83267,0.5593,112.029,4.5918,1.2821,May,2004
0.82332,0.54704,109.421,4.5175,1.25004,Jun,2004
0.81498,0.54219,109.53,4.4944,1.24448,Jul,2004
0.81976,0.54948,110.19200000000001,4.5345,1.26137,Aug,2004
0.81798,0.5574399999999999,110.089,4.49,1.26249,Sep,2004
0.79966,0.55325,108.77600000000001,4.4594,1.23304,Oct,2004
0.7689199999999999,0.53715,104.619,4.4011,1.16998,Nov,2004
0.7471800000000001,0.51875,103.897,4.3436,1.1478700000000002,Dec,2004
0.76339,0.53273,103.337,4.3799,1.1812799999999999,Jan,2005
0.76846,0.52987,104.992,4.3698,1.19144,Feb,2005
0.75803,0.52477,105.226,4.3286,1.17476,Mar,2005
0.77269,0.52747,107.206,4.3699,1.19556,Apr,2005
0.78801,0.5390699999999999,106.616,4.3764,1.2176,May,2005
0.8227,0.5501699999999999,108.75399999999999,4.4823,1.26652,Jun,2005
0.8310700000000001,0.5714600000000001,111.96799999999999,4.5579,1.29511,Jul,2005
0.81313,0.55701,110.565,4.5084,1.2623799999999998,Aug,2005
0.81745,0.5536800000000001,111.223,4.5453,1.26698,Sep,2005
0.8318700000000001,0.5666,114.87700000000001,4.6278,1.28807,Oct,2005
0.8483700000000001,0.57672,118.484,4.6984,1.3113299999999999,Nov,2005
0.8431,0.57262,118.538,4.6115,1.30494,Dec,2005
0.82475,0.56552,115.456,4.6189,1.27754,Jan,2006
0.8376100000000001,0.5722,117.89,4.7049,1.3054299999999999,Feb,2006
0.83145,0.57339,117.285,4.6892,1.30519,Mar,2006
0.8143199999999999,0.56543,116.99700000000001,4.5751,1.28223,Apr,2006
0.78361,0.53557,111.77799999999999,4.4762,1.22003,May,2006
0.78997,0.54255,114.635,4.4715,1.23224,Jun,2006
0.78867,0.54218,115.755,4.4321,1.23768,Jul,2006
0.78085,0.5282399999999999,115.985,4.3785,1.23234,Aug,2006
0.7861,0.53088,117.22200000000001,4.3493,1.24563,Sep,2006
0.79262,0.5329699999999999,118.61399999999999,4.2746,1.26024,Oct,2006
0.77566,0.52277,117.23299999999999,4.3007,1.23469,Nov,2006
0.75707,0.5094,117.241,4.1991,1.20936,Dec,2006
0.76988,0.51053,120.46,4.2314,1.24343,Jan,2007
0.7644,0.51063,120.46700000000001,4.2176,1.23914,Feb,2007
0.7550100000000001,0.51355,117.26299999999999,4.2006,1.2179799999999998,Mar,2007
0.73973,0.5028199999999999,118.92,4.0827,1.21195,Apr,2007
0.7398100000000001,0.5038600000000001,120.78299999999999,4.0038,1.2211,May,2007
0.74515,0.50338,122.697,4.1844,1.23306,Jun,2007
0.7285699999999999,0.49135,121.43799999999999,4.2522,1.2072,Jul,2007
0.73437,0.49753000000000003,116.68,4.2141,1.20355,Aug,2007
0.71831,0.49545,115.008,4.0805,1.18412,Sep,2007
0.70249,0.48905,115.831,4.0126,1.1740700000000002,Oct,2007
0.68111,0.4831,111.07799999999999,3.9085,1.12331,Nov,2007
0.68686,0.49572,112.37200000000001,3.9067,1.13974,Dec,2007
0.6796399999999999,0.5079100000000001,107.73899999999999,3.7394,1.10102,Jan,2008
0.67794,0.50922,107.09100000000001,3.6136,1.0898299999999999,Feb,2008
0.64431,0.49945,100.836,3.5089,1.01288,Mar,2008
0.63484,0.5047,102.685,3.5207,1.0139200000000002,Apr,2008
0.64248,0.50851,104.316,3.3804,1.04349,May,2008
0.64267,0.50857,106.921,3.3571,1.0372,Jun,2008
0.63473,0.5029399999999999,106.899,3.3792,1.02857,Jul,2008
0.6702899999999999,0.53145,109.427,3.5586,1.0859,Aug,2008
0.69768,0.5566300000000001,106.584,3.5257,1.11024,Sep,2008
0.75473,0.5939,100.053,3.6721,1.1434799999999998,Oct,2008
0.78438,0.65292,96.89399999999999,3.8939,1.19169,Nov,2008
0.74307,0.67315,91.315,3.8727,1.14388,Dec,2008
0.75566,0.69212,90.18700000000001,3.9166,1.1269799999999999,Jan,2009
0.78167,0.69395,92.867,4.1032,1.16408,Feb,2009
0.76699,0.70607,97.866,4.1689,1.15563,Mar,2009
0.75762,0.67966,98.87200000000001,4.1867,1.14772,Apr,2009
0.73178,0.64786,96.59200000000001,4.0613,1.10595,May,2009
0.7136399999999999,0.61105,96.62799999999999,3.9454,1.081,Jun,2009
0.71007,0.6109600000000001,94.26700000000001,3.887,1.07865,Jul,2009
0.70128,0.60565,94.89200000000001,3.8316,1.0687,Aug,2009
0.68623,0.61282,91.28399999999999,3.7655,1.0391700000000001,Sep,2009
0.6748,0.6170399999999999,90.369,3.7244,1.02141,Oct,2009
0.67067,0.60272,89.12899999999999,3.7819,1.0127700000000002,Nov,2009
0.6858,0.61605,89.884,3.7884,1.03006,Dec,2009
0.7008,0.6187199999999999,91.07600000000001,3.7115,1.03396,Jan,2010
0.7313,0.64037,90.147,3.7492,1.07259,Feb,2010
0.737,0.66414,90.729,3.7421,1.06665,Mar,2010
0.74565,0.6521100000000001,93.43299999999999,3.712,1.06934,Apr,2010
0.79678,0.68181,92.025,3.7965,1.1295899999999999,May,2010
0.81829,0.6774100000000001,90.833,3.854,1.12555,Jun,2010
0.78067,0.65369,87.522,3.8534,1.05303,Jul,2010
0.77603,0.63913,85.333,3.7937,1.03896,Aug,2010
0.76365,0.64153,84.361,3.7318,1.0003799999999998,Sep,2010
0.71944,0.63032,81.738,3.6082,0.96886,Oct,2010
0.73349,0.62702,82.579,3.6458,0.98545,Nov,2010
0.75576,0.64074,83.294,3.6024,0.9681799999999999,Dec,2010
0.74844,0.63293,82.686,3.5853,0.95824,Jan,2011
0.73231,0.62003,82.568,3.6571,0.94989,Feb,2011
0.71337,0.61892,81.654,3.561,0.9186799999999999,Mar,2011
0.69192,0.6108600000000001,83.25,3.431,0.89779,Apr,2011
0.69725,0.61174,81.09100000000001,3.4668,0.87274,May,2011
0.6944100000000001,0.61665,80.431,3.4138,0.84014,Jun,2011
0.7006,0.6189600000000001,79.24,3.4184,0.82157,Jul,2011
0.69748,0.61131,76.973,3.5529,0.7801,Aug,2011
0.72768,0.63422,76.79899999999999,3.692,0.87682,Sep,2011
0.72848,0.63436,76.646,3.6637,0.8959600000000001,Oct,2011
0.73829,0.63336,77.547,3.728,0.90853,Nov,2011
0.76015,0.64178,77.804,3.7781,0.9334100000000001,Dec,2011
0.77542,0.64463,76.959,3.8092,0.93848,Jan,2012
0.75535,0.6327,78.531,3.7396,0.91179,Feb,2012
0.7572,0.63202,82.47200000000001,3.7623,0.9132,Mar,2012
0.75972,0.62484,81.235,3.7506,0.9132,Apr,2012
0.78181,0.62838,79.681,3.8291,0.93915,May,2012
0.7974399999999999,0.64291,79.321,3.8905,0.95768,Jun,2012
0.81479,0.64155,78.958,3.9946,0.9785299999999999,Jul,2012
0.80619,0.63594,78.722,4.0143,0.96824,Aug,2012
0.77623,0.62017,78.14,3.9362,0.9386399999999999,Sep,2012
0.77082,0.6219399999999999,79.018,3.8567,0.9324,Oct,2012
0.77893,0.62636,81.111,3.8927,0.9386899999999999,Nov,2012
0.76265,0.6194,83.69200000000001,3.7831,0.9218700000000001,Dec,2012
0.7517699999999999,0.62671,89.09700000000001,3.738,0.9238700000000001,Jan,2013
0.7494,0.64642,93.00299999999999,3.6945,0.9213100000000001,Feb,2013
0.77165,0.66338,94.804,3.6833,0.9464100000000001,Mar,2013
0.76779,0.65318,97.76799999999999,3.6211,0.9366399999999999,Apr,2013
0.77012,0.65408,100.85799999999999,3.6348,0.9556399999999999,May,2013
0.75784,0.64557,97.23899999999999,3.6285,0.93324,Jun,2013
0.76454,0.65925,99.70200000000001,3.6019,0.9454899999999999,Jul,2013
0.751,0.64472,97.787,3.5787,0.92599,Aug,2013
0.74846,0.62972,99.21799999999999,3.5663,0.92315,Sep,2013
0.7328899999999999,0.62126,97.788,3.5357,0.90256,Oct,2013
0.7409899999999999,0.62073,100.19,3.5355,0.9126799999999999,Nov,2013
0.72949,0.61049,103.396,3.5015,0.8931600000000001,Dec,2013
0.7345,0.6073,103.795,3.4946,0.9041600000000001,Jan,2014
0.73183,0.60402,102.13,3.5161,0.89381,Feb,2014
0.72323,0.6016199999999999,102.34299999999999,3.4769,0.88056,Mar,2014
0.72414,0.59719,102.45700000000001,3.4753,0.88287,Apr,2014
0.72812,0.59373,101.811,3.4656,0.88844,May,2014
0.73558,0.59148,102.061,3.4526,0.8958200000000001,Jun,2014
0.73917,0.58599,101.771,3.4226,0.8981899999999999,Jul,2014
0.75134,0.5991,102.96700000000001,3.5053,0.9099700000000001,Aug,2014
0.77593,0.6139399999999999,107.43,3.6365,0.93711,Sep,2014
0.78886,0.62215,108.042,3.729,0.95289,Oct,2014
0.80179,0.63425,116.37799999999999,3.8339,0.9642,Nov,2014
0.81119,0.63927,119.333,3.932,0.97536,Dec,2014
0.86135,0.66047,118.223,3.9445,0.9413,Jan,2015
0.8811399999999999,0.6524399999999999,118.755,3.8975,0.9362799999999999,Feb,2015
0.92463,0.6687,120.411,3.9977,0.97995,Mar,2015
0.9249700000000001,0.66822,119.539,3.9323,0.9600799999999999,Apr,2015
0.89722,0.64762,120.875,3.8653,0.9328200000000001,May,2015
0.891,0.6421899999999999,123.725,3.8178,0.93225,Jun,2015
0.90935,0.64279,123.29899999999999,3.7881,0.9547100000000001,Jul,2015
0.89759,0.6420899999999999,122.96700000000001,3.8462,0.9686100000000001,Aug,2015
0.89069,0.65205,120.14299999999999,3.9133,0.9726100000000001,Sep,2015
0.89085,0.65185,120.055,3.8662,0.9688100000000001,Oct,2015
0.93296,0.6584,122.637,3.8887,1.01054,Nov,2015
0.9189200000000001,0.66742,121.70200000000001,3.8772,0.99561,Dec,2015
0.92117,0.6953,118.194,3.9525,1.0082200000000001,Jan,2016
0.90161,0.69998,114.62200000000001,3.9086,0.99223,Feb,2016
0.89851,0.7016600000000001,112.92399999999999,3.8635,0.98144,Mar,2016
0.88145,0.69853,109.545,3.7717,0.96349,Apr,2016
0.8843700000000001,0.68816,108.93700000000001,3.8123,0.9778700000000001,May,2016
0.8905,0.70531,105.35600000000001,3.8577,0.9696,Jun,2016
0.90466,0.76149,104.194,3.8583,0.98301,Jul,2016
0.89226,0.76364,101.197,3.7999,0.97131,Aug,2016
0.89149,0.7612,101.788,3.765,0.97334,Sep,2016
0.90804,0.81137,103.90299999999999,3.8223,0.98764,Oct,2016
0.9279700000000001,0.8043899999999999,108.689,3.8417,0.9973299999999999,Nov,2016
0.9481,0.8005800000000001,115.929,3.8296,1.01908,Dec,2016
0.94037,0.80997,114.852,3.8166,1.0076399999999999,Jan,2017
0.9390200000000001,0.8003899999999999,112.914,3.7247,1.00108,Feb,2017
0.93548,0.81006,112.917,3.6514,1.00157,Mar,2017
0.93309,0.79104,110.177,3.653,1.00076,Apr,2017
0.9054200000000001,0.77403,112.257,3.5918,0.987,May,2017
0.89012,0.78092,110.92,3.5291,0.9679700000000001,Jun,2017
0.8674299999999999,0.76956,112.376,3.5529,0.9604,Jul,2017
0.8465299999999999,0.7722,109.77799999999999,3.5984,0.9650700000000001,Aug,2017
0.8395799999999999,0.74992,110.822,3.5297,0.96288,Sep,2017
0.85072,0.75759,112.93799999999999,3.5102,0.9822700000000001,Oct,2017
0.8513299999999999,0.7559100000000001,112.751,3.515,0.9911700000000001,Nov,2017
0.8451200000000001,0.74603,112.93,3.5041,0.9873299999999999,Dec,2017
0.8195600000000001,0.72356,110.863,3.4209,0.9605799999999999,Jan,2018
0.8102699999999999,0.7163,107.98,3.4957,0.93535,Feb,2018
